Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
Masciarelli,,,masciarellistore@masciarelli.it,store.masciarelli.it,"Contrada Gamberale, 2",66010,San Martino sulla Marrucina,Chieti,Abruzzo,,087185241,,,,,,,,,
Panizzi,Conosciuti da Necci,Roberto,camelia.lazar@panizzi.it,panizzi.it,"Località Larniano, 1",53037,San Giminiano,Siena,Toscana,Camelia Lazar,3315805903,,,,CONTATTARE Conoscono stappando - FORSE DISTRIBUITO DA ROCCHI reinviata mail 2 settembre,,Nessun Feedback,,12/15/2024,
Vie Di Romans,,,viediromans@viediromans.it,viediromans.it,"Località Vie Di Romans, 1",34070,Mariano del Friuli,Gorizia,Friuli Venezia Giulia,,0481 69600,,,,,,,,,
Maso Poli,,,info@masopoli.com,masopoli.com,"Strada Del Vino, 33",38015,Lavis,Trento,Friuli Venezia Giulia,,0461871519,,,,,,,,,
Mastroberardino,,,info@mastroberardino.com,mastroberardino.com,"V. Manfredi, 29-31-33",83042,Atripalda ,Avellino,Campania,,0825614111,,,,,,,,,
K. Martini & Sohn,,,info@martini-sohn.it,martini-sohn.it,"Via Lamm, 28",39057,Cornaiano ,Bolzano,Trentino Alto Adige,,0471663156,,,,,,,,,
Cantina Vecchia Torre,,,info@cantinavecchiatorre.it,cantinavecchiatorre.it,"Via Marche, 1",73045,Leverano,Lecce,Puglia,,0832925053,,,,negroamaro primitivo hanno una sezione horeca sul sito,,,,2/3/2025,
Conte Loredan Gasparini,,,info@loredangasparini.it,loredangasparini.it,"Via Martignago, 23",31040,Volpago del Montello,Treviso,Veneto,,0423870024,00323030262,,,,,,,,
Sanmichele Ai Pianoni,FIVI,,pianoni.wines@gmail.com,sanmicheleaipianoni.it,"Ai Pianoni, 1",27047,Montecalvo Versiggia,Pavia,Lombardia,,38599842,,,,,,,,12/8/2024,
Mezzanotte,FIVI,,info@cantinamezzanotte.it,cantinamezzanotte.it,"Arceviese Bettolelle, 100/B",60019,Senigallia,Ancona,Marche,,3470820579,,,,,,,,12/11/2024,
Cantina Ortenzi,FIVI,,info@cantinaortenzi.it,cantinaortenzi.it,"Bore Di Tenna, 7",63900,Fermo,Fermo,Marche,,73427780,,,,,,,,3/8/2025,
