Nome,Email,Regione,Provincia
Abruzzo Vini,info@abruzzovini.com,Abruzzo,Pescara
Agricosimo,info@agricosimo.it,Abruzzo,Chieti
Agriverde,cantina@cantineagriverde.com,Abruzzo,Chieti
Aprutina Vini,info@casalthaulero.it,Abruzzo,Chieti
Azienda Agricola Barone Cornacchia,info@baronecornacchia.it,Abruzzo,Teramo
Azienda Agricola Bottari,info@cantinabottari.com,Abruzzo,Chieti
Azienda Agricola Chiarieri,info@chiarieri.com,Abruzzo,Pescara
Azienda Agricola Chiusa Grande,info@chiusagrande.com,Abruzzo,Pescara
Azienda Agricola Col Del Mondo,info@priore.it,Abruzzo,Pescara
Azienda Agricola Contesa,info@contesa.it,Abruzzo,Pescara
Azienda Agricola Di Bonaventura,info@dibonaventuravini.com,Abruzzo,Teramo
Azienda Agricola Filomusi Guelfi,info@filomusiguelfi.it,Abruzzo,Pescara
Azienda Agricola Guardiani Farchione,export@guardianifarchione.com,Abruzzo,Pescara
Azienda Agricola Jasci Donatello,info@jasci.it,Abruzzo,Chieti
Azienda Agricola La Quercia,info@vinilaquercia.it,Abruzzo,Teramo
Azienda Agricola Margiotta Carlo Mario,info@margiottavini.it,Abruzzo,Laquila
Azienda Agricola Marramiero,info@marramiero.it,Abruzzo,Pescara
Azienda Agricola Pepe Emidio,info@montepulcianodabruzzo.it,Abruzzo,Teramo
Azienda Agricola Santoleri Nicola,giovanni.santoleri@hotmail.com,Abruzzo,Chieti
Azienda Agricola Sarchese Dora,sarchese.dora@tin.it,Abruzzo,Chieti
Azienda Agricola Villa Medoro,info@villamedoro.it,Abruzzo,Teramo
Azienda Vinicola Barba F.lli,cantina@fratellibarba.it,Abruzzo,Teramo
Azienda Vinicola Colle del Sole,info@cantinacolledelsole.it,Abruzzo,Chieti
Azienda Vinicola Lattanzi,info@lattanzivini.it,Abruzzo,Teramo
Azienda Vinicola Strappelli Guido,info@cantinastrappelli.it,Abruzzo,Teramo
Azienda Vinicola Valpeligna,coopvalpeligna@libero.it,Abruzzo,Laquila
Azienda Vitivinicola Di Renzo,info@cantinaloft.it,Abruzzo,Chieti
Azienda Vitivinicola Lepore,info@vinilepore.it,Abruzzo,Teramo
Azienda Vitivinicola Sergio Del Casale,info@sergiodelcasale.com,Abruzzo,Chieti
Biagi,info@vinibiagi.com,Abruzzo,Teramo
Bosco Nestore,info@nestorebosco.com,Abruzzo,Pescara
Buccicatino,buccicatinovini@gmail.com,Abruzzo,Chieti
Budano Roberto,info@budanovini.it,Abruzzo,Chieti
Cantina Cerretano,info@cantinacerretano.com,Abruzzo,Chieti
Cantina Colonnella,info@cantinacolonnella.it,Abruzzo,Teramo
Cantina Miglianico,info@cantinamiglianico.it,Abruzzo,Chieti
Cantina Sangro,info@cantinasangro.it,Abruzzo,Chieti
Cantina Tollo,info@cantinatollo.it,Abruzzo,Chieti
Cantine Di Stefano,info@cantinedistefano.com,Abruzzo,Chieti
Cantine Dragani,info@cantinedragani.it,Abruzzo,Chieti
Cantine Paolucci,info@cantinepaolucci.com,Abruzzo,Pescara
Cantine Spinelli,info@cantinespinelli.it,Abruzzo,Chieti
Cantine Torri,info@torricantine.it,Abruzzo,Teramo
Casa Vinicola Pietrantonj Italo,info@vinipietrantonj.it,Abruzzo,Laquila
Casa Vinicola Roxan,info@roxan.it,Abruzzo,Pescara
Citra Vini,citra@citra.it,Abruzzo,Chieti
D&#039;Alesio Sciarr,info@dalesiovini.it,Abruzzo,Pescara
Dario D&#039;Angelo,info@fadams.it,Abruzzo,Teramo
Di Camillo Vini,info@dicamillovini.it,Abruzzo,Chieti
Di Virgilio,info@divirgiliovini.it,Abruzzo,Chieti
Eredi Legonziano,info@eredilegonziano.it,Abruzzo,Chieti
Farnese Vini,farnesevini@tin.it,Abruzzo,Chieti
Fattoria Savini Giuseppe,cantina@fattoriagiuseppesavini.it,Abruzzo,Teramo
Fosso Corno,info@fossocornovini.it,Abruzzo,Teramo
Gentile Vini,gentilevini@gmail.com,Abruzzo,Laquila
Lampato,info@lampato.com,Abruzzo,Pescara
Marchesi de&#039; Cordano,info@cordano.it,Abruzzo,Pescara
Nicola Di Sipio,info@disipiowine.com,Abruzzo,Chieti
Soc. Coop. Casal Bordino,mail@vinicasalbordino.com,Abruzzo,Chieti
Società Agricola Anfra,info@anfra.it,Abruzzo,Teramo
Tenuta Cipressi,info@duchidicastelluccio.it,Abruzzo,Pescara
Tenuta Sant’Ilario,info@tenutasantilario.com,Abruzzo,Teramo
Tenuta Torretta,tenutatorretta@alice.it,Abruzzo,Teramo
Tilli,info@aziendatilli.it,Abruzzo,Chieti
Vini Troilo,info@vinitroilo.it,Abruzzo,Chieti
Associazione Agricola Taverna,info@vignaalta.it,Basilicata,Matera
Azienda Agricola Donato D&#039;Angelo,info@donatodangelo.it,Basilicata,Potenza
Tenute D&#039;Auria,tenute.dauria@gmail.com,Basilicata,Potenza
Azienda Agricola Adimari,info@aziendaagricolaadimari.it,Calabria,Cosenza
Azienda Agricola Davoli,info@fratellidavoli.com,Calabria,Catanzaro
Azienda Agricola De Luca,info@vinideluca.it,Calabria,Crotone
Azienda Agricola Francesco Malena,info@malena.it,Calabria,Crotone
Azienda Agricola Matera Lidia,info@tenutaterrenobili.it,Calabria,Cosenza
Azienda Agricola Piana di Sibari,info@pianadisibari.it,Calabria,Cosenza
Azienda Vinicola F.lli Dell&#039;Aquila,dassunta@libero.it,Calabria,Crotone
Azienda Vinicola Fiore,vinifiore@tin.it,Calabria,Cosenza
Baccellieri,info@baccellieri.it,Calabria,Reggio Calabria
Barone di Bolaro,info@baronedibolaro.com,Calabria,Reggio Calabria
Cantina Val di Neto,info@cantinavaldineto.com,Calabria,Catanzaro
Cantine De Mare,info@cantinedemare.it,Calabria,Crotone
Cantine Graziano,cantinegraziano@tiscali.it,Calabria,Potenza
Cantine Lavorata,info@cantinelavorata.it,Calabria,Reggio Calabria
Cantine Lento,info@cantinelento.it,Calabria,Catanzaro
Cantine Spadafora,info@cantinespadafora.it,Calabria,Cosenza
Cantine Zagari,info@cantinezagari.it,Calabria,Reggio Calabria
Casa Vinicola Linardi,info@linardi.com,Calabria,Crotone
Casa Vinicola Lucà,lucaraff@libero.it,Calabria,Crotone
Chimento,info@cantinechimento.it,Calabria,Cosenza
Colacino,vini@colacino.it,Calabria,Cosenza
Criserà,info@vinicrisera.it,Calabria,Reggio Calabria
Fattoria San Francesco,info@fattoriasanfrancesco.it,Calabria,Crotone
Fattorie Greco,info@igreco.it,Calabria,Cosenza
Feudo Liguori,info@feudoliguori.it,Calabria,Cosenza
Feudo dei Sanseverino,info@feudodeisanseverino.it,Calabria,Cosenza
Gialdino,fr.gialdino@tiscali.it,Calabria,Cosenza
Jelasi 1881,giuseppespatari@gmail.com,Calabria,Reggio Calabria
Le Conche,leconche@leconche.it,Calabria,Cosenza
Magna Graecia,vincenzo.granata@libero.it,Calabria,Cosenza
Malaspina,info@aziendavinicolamalaspina.com,Calabria,Reggio Calabria
Marchisa,info.marchisa@gmail.com,Calabria,Vibo Valentia
Marrelli Wines,info@santandreasrl.com,Calabria,Crotone
Masseria Falvo 1727,info@masseriafalvo.it,Calabria,Cosenza
Parrilla Vini,info@parrillavini.it,Calabria,Crotone
Santa Venere,info@santavenere.com,Calabria,Crotone
Serragiumenta,info@serragiumenta.com,Calabria,Cosenza
Tenuta Celimarro,tenuta@celimarro.it,Calabria,Cosenza
Tenuta Iuzzolini,info@tenutaiuzzolini.it,Calabria,Crotone
Tenuta Oppedisano,info@tenutaoppedisano.it,Calabria,Reggio Calabria
Tenute Ferrocinto,r.branca@campoverdeagricola.it,Calabria,Cosenza
